"","Organism","Kingdom","Phylum","Class","mDAG_Id","Full_Name","Freq_Phylum","Freq_Class","clust4_MSA","clust4_Mun","combined_cluster_MSA_Kingdom","combined_cluster_Mun_Kingdom"
"215","sluc","Animals","Vertebrates","Fishes","0383","Sander lucioperca (pikeperch)",331,89,1,1,"Animals1","Animals1"
"216","smeo","Animals","Vertebrates","Fishes","0580","Silurus meridionalis (southern catfish)",331,89,1,1,"Animals1","Animals1"
"217","snh","Animals","Vertebrates","Fishes","0657","Salvelinus namaycush (lake trout)",331,89,1,1,"Animals1","Animals1"
"218","srx","Animals","Vertebrates","Fishes","0717","Sinocyclocheilus rhinocerous",331,89,1,1,"Animals1","Animals1"
"219","sscv","Animals","Vertebrates","Fishes","0420","Syngnathus scovelli (Gulf pipefish)",331,89,1,1,"Animals1","Animals1"
"220","ssen","Animals","Vertebrates","Fishes","0454","Solea senegalensis (Senegalese sole)",331,89,1,1,"Animals1","Animals1"
"221","stru","Animals","Vertebrates","Fishes","0043","Salmo trutta (river trout)",331,89,1,1,"Animals1","Animals1"
"222","tfd","Animals","Vertebrates","Fishes","0024","Tachysurus fulvidraco (yellow catfish)",331,89,1,1,"Animals1","Animals1"
"223","tng","Animals","Vertebrates","Fishes","0181","Tetraodon nigroviridis (spotted green pufferfish)",331,89,1,1,"Animals1","Animals1"
"224","tru","Animals","Vertebrates","Fishes","0273","Takifugu rubripes (torafugu)",331,89,1,1,"Animals1","Animals1"
"225","xco","Animals","Vertebrates","Fishes","0785","Xiphophorus couchianus (Monterrey platyfish)",331,89,1,1,"Animals1","Animals1"
"226","xgl","Animals","Vertebrates","Fishes","0822","Xiphias gladius (swordfish)",331,89,1,1,"Animals1","Animals1"
"227","xhe","Animals","Vertebrates","Fishes","0833","Xiphophorus hellerii (green swordtail)",331,89,1,1,"Animals1","Animals1"
"228","xma","Animals","Vertebrates","Fishes","0005","Xiphophorus maculatus (southern platyfish)",331,89,1,1,"Animals1","Animals1"
"229","aam","Animals","Vertebrates","Birds","0040","Apteryx mantelli mantelli (North Island brown kiwi)",331,70,1,1,"Animals1","Animals1"
"230","acar","Animals","Vertebrates","Birds","0884","Antrostomus carolinensis (chuck-will's-widow)",331,70,1,1,"Animals1","Animals1"
"231","achc","Animals","Vertebrates","Birds","0103","Aquila chrysaetos chrysaetos (golden eagle)",331,70,1,1,"Animals1","Animals1"
"232","achl","Animals","Vertebrates","Birds","0081","Acanthisitta chloris (rifleman)",331,70,1,1,"Animals1","Animals1"
"233","acun","Animals","Vertebrates","Birds","0333","Athene cunicularia (burrowing owl)",331,70,1,1,"Animals1","Animals1"
"234","acyg","Animals","Vertebrates","Birds","0389","Anser cygnoides domesticus (swan goose)",331,70,1,1,"Animals1","Animals1"
"235","afor","Animals","Vertebrates","Birds","0603","Aptenodytes forsteri (emperor penguin)",331,70,1,1,"Animals1","Animals1"
"236","aful","Animals","Vertebrates","Birds","0644","Aythya fuligula (tufted duck)",331,70,1,1,"Animals1","Animals1"
"237","agen","Animals","Vertebrates","Birds","0824","Accipiter gentilis (Northern goshawk)",331,70,1,1,"Animals1","Animals1"
"238","apla","Animals","Vertebrates","Birds","0285","Anas platyrhynchos (mallard)",331,70,1,1,"Animals1","Animals1"
"239","arow","Animals","Vertebrates","Birds","0316","Apteryx rowi (Okarito brown kiwi)",331,70,1,1,"Animals1","Animals1"
"240","avit","Animals","Vertebrates","Birds","0004","Apaloderma vittatum (bar-tailed trogon)",331,70,1,1,"Animals1","Animals1"
"241","brhi","Animals","Vertebrates","Birds","0662","Buceros rhinoceros silvestris (Rhinoceros hornbill)",331,70,1,1,"Animals1","Animals1"
"242","cbrc","Animals","Vertebrates","Birds","0792","Corvus brachyrhynchos (American crow)",331,70,1,1,"Animals1","Animals1"
"243","ccae","Animals","Vertebrates","Birds","0096","Cyanistes caeruleus (blue tit)",331,70,1,1,"Animals1","Animals1"
"244","ccri","Animals","Vertebrates","Birds","0403","Cariama cristata (Red-legged seriema)",331,70,1,1,"Animals1","Animals1"
"245","ccw","Animals","Vertebrates","Birds","0010","Corvus cornix (hooded crow)",331,70,1,1,"Animals1","Animals1"
"246","cjo","Animals","Vertebrates","Birds","0138","Coturnix japonica (Japanese quail)",331,70,1,1,"Animals1","Animals1"
"247","clv","Animals","Vertebrates","Birds","0180","Columba livia (rock pigeon)",331,70,1,1,"Animals1","Animals1"
"248","cmac","Animals","Vertebrates","Birds","0730","Chlamydotis macqueenii (Macqueen's bustard)",331,70,1,1,"Animals1","Animals1"
"249","cpea","Animals","Vertebrates","Birds","0309","Chaetura pelagica (chimney swift)",331,70,1,1,"Animals1","Animals1"
"250","csti","Animals","Vertebrates","Birds","0776","Colius striatus (speckled mousebird)",331,70,1,1,"Animals1","Animals1"
"251","cuca","Animals","Vertebrates","Birds","0566","Cuculus canorus (common cuckoo)",331,70,1,1,"Animals1","Animals1"
"252","cvf","Animals","Vertebrates","Birds","0352","Charadrius vociferus (killdeer)",331,70,1,1,"Animals1","Animals1"
"253","dne","Animals","Vertebrates","Birds","0625","Dromaius novaehollandiae (emu)",331,70,1,1,"Animals1","Animals1"
"254","dpub","Animals","Vertebrates","Birds","0028","Dryobates pubescens (Downy woodpecker)",331,70,1,1,"Animals1","Animals1"
"255","egz","Animals","Vertebrates","Birds","0011","Egretta garzetta (little egret)",331,70,1,1,"Animals1","Animals1"
"256","ehs","Animals","Vertebrates","Birds","0021","Eurypyga helias (sunbittern)",331,70,1,1,"Animals1","Animals1"
"257","etl","Animals","Vertebrates","Birds","0253","Empidonax traillii (willow flycatcher)",331,70,1,1,"Animals1","Animals1"
"258","fab","Animals","Vertebrates","Birds","0432","Ficedula albicollis (collared flycatcher)",331,70,1,1,"Animals1","Animals1"
"259","fch","Animals","Vertebrates","Birds","0461","Falco cherrug (Saker falcon)",331,70,1,1,"Animals1","Animals1"
"260","fga","Animals","Vertebrates","Birds","0507","Fulmarus glacialis (Northern fulmar)",331,70,1,1,"Animals1","Animals1"
"261","fpg","Animals","Vertebrates","Birds","0599","Falco peregrinus (peregrine falcon)",331,70,1,1,"Animals1","Animals1"
"262","gcl","Animals","Vertebrates","Birds","0797","Gymnogyps californianus (California condor)",331,70,1,1,"Animals1","Animals1"
"263","gfr","Animals","Vertebrates","Birds","0831","Geospiza fortis (medium ground-finch)",331,70,1,1,"Animals1","Animals1"
"264","gga","Animals","Vertebrates","Birds","0838","Gallus gallus (chicken)",331,70,1,1,"Animals1","Animals1"
"265","gste","Animals","Vertebrates","Birds","0065","Gavia stellata (red-throated loon)",331,70,1,1,"Animals1","Animals1"
"266","hald","Animals","Vertebrates","Birds","0001","Haliaeetus albicilla (white-tailed eagle)",331,70,1,1,"Animals1","Animals1"
"267","hle","Animals","Vertebrates","Birds","0521","Haliaeetus leucocephalus (bald eagle)",331,70,1,1,"Animals1","Animals1"
"268","ldi","Animals","Vertebrates","Birds","0315","Leptosomus discolor (cuckoo roller)",331,70,1,1,"Animals1","Animals1"
"269","lsr","Animals","Vertebrates","Birds","0509","Lonchura striata domestica (Bengalese finch)",331,70,1,1,"Animals1","Animals1"
"270","mgp","Animals","Vertebrates","Birds","0724","Meleagris gallopavo (turkey)",331,70,1,1,"Animals1","Animals1"
"271","mnb","Animals","Vertebrates","Birds","0783","Merops nubicus (carmine bee-eater)",331,70,1,1,"Animals1","Animals1"
"272","mui","Animals","Vertebrates","Birds","0858","Mesitornis unicolor (brown roatelo)",331,70,1,1,"Animals1","Animals1"
"273","nmel","Animals","Vertebrates","Birds","0762","Numida meleagris (helmeted guineafowl)",331,70,1,1,"Animals1","Animals1"
"274","nni","Animals","Vertebrates","Birds","0397","Nipponia nippon (crested ibis)",331,70,1,1,"Animals1","Animals1"
"275","nnt","Animals","Vertebrates","Birds","0401","Nestor notabilis (Kea)",331,70,1,1,"Animals1","Animals1"
"276","npd","Animals","Vertebrates","Birds","0418","Nothoprocta perdicaria (Chilean tinamou)",331,70,1,1,"Animals1","Animals1"
"277","oha","Animals","Vertebrates","Birds","0686","Opisthocomus hoazin (hoatzin)",331,70,1,1,"Animals1","Animals1"
"278","otc","Animals","Vertebrates","Birds","0801","Onychostruthus taczanowskii (white-rumped snowfinch)",331,70,1,1,"Animals1","Animals1"
"279","padl","Animals","Vertebrates","Birds","0327","Pygoscelis adeliae (Adelie penguin)",331,70,1,1,"Animals1","Animals1"
"280","pcao","Animals","Vertebrates","Birds","0203","Phalacrocorax carbo (great cormorant)",331,70,1,1,"Animals1","Animals1"
"281","pcoc","Animals","Vertebrates","Birds","0452","Phasianus colchicus (Ring-necked pheasant)",331,70,1,1,"Animals1","Animals1"
"282","pcri","Animals","Vertebrates","Birds","0472","Pelecanus crispus (Dalmatian pelican)",331,70,1,1,"Animals1","Animals1"
"283","pguu","Animals","Vertebrates","Birds","0417","Pterocles gutturalis (yellow-throated sandgrouse)",331,70,1,1,"Animals1","Animals1"
"284","phi","Animals","Vertebrates","Birds","0227","Pseudopodoces humilis (Tibetan ground-tit)",331,70,1,1,"Animals1","Animals1"
"285","plet","Animals","Vertebrates","Birds","0498","Phaethon lepturus (White-tailed tropicbird)",331,70,1,1,"Animals1","Animals1"
"286","pmaj","Animals","Vertebrates","Birds","0778","Parus major (Great Tit)",331,70,1,1,"Animals1","Animals1"
"287","pmoa","Animals","Vertebrates","Birds","0112","Passer montanus (Eurasian tree sparrow)",331,70,1,1,"Animals1","Animals1"
"288","pruf","Animals","Vertebrates","Birds","0545","Pyrgilauda ruficollis (rufous-necked snowfinch)",331,70,1,1,"Animals1","Animals1"
"289","scam","Animals","Vertebrates","Birds","0740","Struthio camelus australis (South African ostrich)",331,70,1,1,"Animals1","Animals1"
"290","scan","Animals","Vertebrates","Birds","0739","Serinus canaria (common canary)",331,70,1,1,"Animals1","Animals1"
"291","shab","Animals","Vertebrates","Birds","0155","Strigops habroptila (Kakapo)",331,70,1,1,"Animals1","Animals1"
"292","svg","Animals","Vertebrates","Birds","0751","Sturnus vulgaris (common starling)",331,70,1,1,"Animals1","Animals1"
"293","tala","Animals","Vertebrates","Birds","0571","Tyto alba (Barn owl)",331,70,1,1,"Animals1","Animals1"
"294","teo","Animals","Vertebrates","Birds","0013","Tauraco erythrolophus (red-crested turaco)",331,70,1,1,"Animals1","Animals1"
"295","tgt","Animals","Vertebrates","Birds","0053","Tinamus guttatus (white-throated tinamou)",331,70,1,1,"Animals1","Animals1"
"296","tgu","Animals","Vertebrates","Birds","0058","Taeniopygia guttata (zebra finch)",331,70,1,1,"Animals1","Animals1"
"297","tpai","Animals","Vertebrates","Birds","0491","Tympanuchus pallidicinctus (lesser prairie-chicken)",331,70,1,1,"Animals1","Animals1"
"298","zab","Animals","Vertebrates","Birds","0726","Zonotrichia albicollis (white-throated sparrow)",331,70,1,1,"Animals1","Animals1"
"299","acs","Animals","Vertebrates","Reptiles","0083","Anolis carolinensis (green anole)",331,24,1,1,"Animals1","Animals1"
"300","amj","Animals","Vertebrates","Reptiles","0278","Alligator mississippiensis (American alligator)",331,24,1,1,"Animals1","Animals1"
"301","asn","Animals","Vertebrates","Reptiles","0373","Alligator sinensis (Chinese alligator)",331,24,1,1,"Animals1","Animals1"
"302","cabi","Animals","Vertebrates","Reptiles","0158","Chelonoidis abingdonii (Abingdon island giant tortoise)",331,24,1,1,"Animals1","Animals1"
"303","cmy","Animals","Vertebrates","Reptiles","0199","Chelonia mydas (green sea turtle)",331,24,1,1,"Animals1","Animals1"
"304","cpic","Animals","Vertebrates","Reptiles","0365","Chrysemys picta (western painted turtle)",331,24,1,1,"Animals1","Animals1"
"305","cpoo","Animals","Vertebrates","Reptiles","0443","Crocodylus porosus (Australian saltwater crocodile)",331,24,1,1,"Animals1","Animals1"
"306","ctig","Animals","Vertebrates","Reptiles","0216","Crotalus tigris (Tiger rattlesnake)",331,24,1,1,"Animals1","Animals1"
"307","ggn","Animals","Vertebrates","Reptiles","0841","Gavialis gangeticus (Gharial)",331,24,1,1,"Animals1","Animals1"
"308","gja","Animals","Vertebrates","Reptiles","0871","Gekko japonicus (Schlegel's Japanese gecko)",331,24,1,1,"Animals1","Animals1"
"309","hcg","Animals","Vertebrates","Reptiles","0408","Hemicordylus capensis (graceful crag lizard)",331,24,1,1,"Animals1","Animals1"
"310","mrv","Animals","Vertebrates","Reptiles","0830","Mauremys reevesii (Reeves's turtle)",331,24,1,1,"Animals1","Animals1"
"311","pbi","Animals","Vertebrates","Reptiles","0111","Python bivittatus (Burmese python)",331,24,1,1,"Animals1","Animals1"
"312","pgut","Animals","Vertebrates","Reptiles","0415","Pantherophis guttatus (corn snake)",331,24,1,1,"Animals1","Animals1"
"313","pmua","Animals","Vertebrates","Reptiles","0236","Podarcis muralis (common wall lizard)",331,24,1,1,"Animals1","Animals1"
"314","pmur","Animals","Vertebrates","Reptiles","0225","Protobothrops mucrosquamatus (Taiwan habu)",331,24,1,1,"Animals1","Animals1"
"315","pss","Animals","Vertebrates","Reptiles","0410","Pelodiscus sinensis (Chinese soft-shelled turtle)",331,24,1,1,"Animals1","Animals1"
"316","pvt","Animals","Vertebrates","Reptiles","0449","Pogona vitticeps (central bearded dragon)",331,24,1,1,"Animals1","Animals1"
"317","stow","Animals","Vertebrates","Reptiles","0034","Sphaerodactylus townsendi (Townsend's least gecko)",331,24,1,1,"Animals1","Animals1"
"318","sund","Animals","Vertebrates","Reptiles","0502","Sceloporus undulatus (fence lizard)",331,24,1,1,"Animals1","Animals1"
"319","tsr","Animals","Vertebrates","Reptiles","0293","Thamnophis sirtalis (common garter snake)",331,24,1,1,"Animals1","Animals1"
"320","tst","Animals","Vertebrates","Reptiles","0296","Trachemys scripta elegans (red-eared slider)",331,24,1,1,"Animals1","Animals1"
"321","vko","Animals","Vertebrates","Reptiles","0049","Varanus komodoensis (Komodo dragon)",331,24,1,1,"Animals1","Animals1"
"322","zvi","Animals","Vertebrates","Reptiles","0099","Zootoca vivipara (common lizard)",331,24,1,1,"Animals1","Animals1"
"323","bbuf","Animals","Vertebrates","Amphibians","0430","Bufo bufo (common toad)",331,6,1,1,"Animals1","Animals1"
"324","bgar","Animals","Vertebrates","Amphibians","0437","Bufo gargarizans (Asiatic toad)",331,6,1,1,"Animals1","Animals1"
"325","npr","Animals","Vertebrates","Amphibians","0425","Nanorana parkeri (Xizang Plateau frog)",331,6,1,1,"Animals1","Animals1"
"326","rtem","Animals","Vertebrates","Amphibians","0359","Rana temporaria (common frog)",331,6,1,1,"Animals1","Animals1"
"327","xla","Animals","Vertebrates","Amphibians","0876","Xenopus laevis (African clawed frog)",331,6,1,1,"Animals1","Animals1"
"328","xtr","Animals","Vertebrates","Amphibians","0147","Xenopus tropicalis (tropical clawed frog)",331,6,1,1,"Animals1","Animals1"
"329","cmk","Animals","Vertebrates","Cartilaginous","0191","Callorhinchus milii (elephant shark)",331,3,1,1,"Animals1","Animals1"
"330","cpla","Animals","Vertebrates","Cartilaginous","0378","Chiloscyllium plagiosum (whitespotted bambooshark)",331,3,1,1,"Animals1","Animals1"
"331","rtp","Animals","Vertebrates","Cartilaginous","0367","Rhincodon typus (whale shark)",331,3,1,1,"Animals1","Animals1"
"332","aag","Animals","Arthropods","Insects","0035","Aedes aegypti (yellow fever mosquito)",158,130,2,2,"Animals2","Animals2"
"333","aalb","Animals","Arthropods","Insects","0276","Aedes albopictus (Asian tiger mosquito)",158,130,2,2,"Animals2","Animals2"
"334","aali","Animals","Arthropods","Insects","0267","Anopheles albimanus",158,130,2,2,"Animals2","Animals2"
"335","aara","Animals","Arthropods","Insects","0362","Anopheles arabiensis",158,130,2,2,"Animals2","Animals2"
"336","acep","Animals","Arthropods","Insects","0054","Atta cephalotes (leaf cutting ant)",158,130,2,2,"Animals2","Animals2"
"337","acer","Animals","Arthropods","Insects","0057","Apis cerana (Asiatic honeybee)",158,130,2,2,"Animals2","Animals2"
"338","acoz","Animals","Arthropods","Insects","0255","Anopheles coluzzii",158,130,2,2,"Animals2","Animals2"
"339","aec","Animals","Arthropods","Insects","0120","Acromyrmex echinatior (Panamanian leafcutter ant)",158,130,2,2,"Animals2","Animals2"
"340","aga","Animals","Arthropods","Insects","0150","Anopheles gambiae (malaria mosquito)",158,130,2,2,"Animals2","Animals2"
"341","agb","Animals","Arthropods","Insects","0151","Anoplophora glabripennis (Asian longhorned beetle)",158,130,2,2,"Animals2","Animals2"
"342","agif","Animals","Arthropods","Insects","0877","Aphidius gifuensis",158,130,2,2,"Animals2","Animals2"
"343","agrg","Animals","Arthropods","Insects","0146","Anthonomus grandis grandis (boll weevil)",158,130,2,2,"Animals2","Animals2"
"344","ags","Animals","Arthropods","Insects","0159","Aphis gossypii (cotton aphid)",158,130,2,2,"Animals2","Animals2"
"345","alab","Animals","Arthropods","Insects","0256","Apis laboriosa (Himalayan honeybee)",158,130,2,2,"Animals2","Animals2"
"346","ame","Animals","Arthropods","Insects","0274","Apis mellifera (honey bee)",158,130,2,2,"Animals2","Animals2"
"347","amer","Animals","Arthropods","Insects","0716","Anopheles merus",158,130,2,2,"Animals2","Animals2"
"348","api","Animals","Arthropods","Insects","0337","Acyrthosiphon pisum (pea aphid)",158,130,2,2,"Animals2","Animals2"
"349","apln","Animals","Arthropods","Insects","0305","Agrilus planipennis (emerald ash borer)",158,130,2,2,"Animals2","Animals2"
"350","aste","Animals","Arthropods","Insects","0720","Anopheles stephensi (Asian malaria mosquito)",158,130,2,2,"Animals2","Animals2"
"351","atd","Animals","Arthropods","Insects","0380","Aethina tumida (small hive beetle)",158,130,2,2,"Animals2","Animals2"
"352","bany","Animals","Arthropods","Insects","0750","Bicyclus anynana (squinting bush brown)",158,130,2,2,"Animals2","Animals2"
"353","bbif","Animals","Arthropods","Insects","0232","Bombus bifarius (two-form bumblebee)",158,130,2,2,"Animals2","Animals2"
"354","bcoo","Animals","Arthropods","Insects","0707","Bradysia coprophila",158,130,2,2,"Animals2","Animals2"
"355","bim","Animals","Arthropods","Insects","0620","Bombus impatiens (common eastern bumble bee)",158,130,2,2,"Animals2","Animals2"
"356","bman","Animals","Arthropods","Insects","0249","Bombyx mandarina (wild silkworm)",158,130,2,2,"Animals2","Animals2"
"357","bmor","Animals","Arthropods","Insects","0456","Bombyx mori (domestic silkworm)",158,130,2,2,"Animals2","Animals2"
"358","bod","Animals","Arthropods","Insects","0691","Bactrocera oleae (olive fruit fly)",158,130,2,2,"Animals2","Animals2"
"359","bpyo","Animals","Arthropods","Insects","0862","Bombus pyrosoma",158,130,2,2,"Animals2","Animals2"
"360","btab","Animals","Arthropods","Insects","0520","Bemisia tabaci (sweet potato whitefly)",158,130,2,2,"Animals2","Animals2"
"361","bter","Animals","Arthropods","Insects","0555","Bombus terrestris (buff-tailed bumblebee)",158,130,2,2,"Animals2","Animals2"
"362","bvan","Animals","Arthropods","Insects","0503","Bombus vancouverensis nearcticus",158,130,2,2,"Animals2","Animals2"
"363","bvk","Animals","Arthropods","Insects","0763","Bombus vosnesenskii (yellow-faced bumblebee)",158,130,2,2,"Animals2","Animals2"
"364","ccal","Animals","Arthropods","Insects","0091","Ceratina calcarata (carpenter bee)",158,130,2,2,"Animals2","Animals2"
"365","ccat","Animals","Arthropods","Insects","0118","Ceratitis capitata (Mediterranean fruit fly)",158,130,2,2,"Animals2","Animals2"
"366","ccin","Animals","Arthropods","Insects","0262","Cephus cinctus (wheat stem sawfly)",158,130,2,2,"Animals2","Animals2"
"367","ccrc","Animals","Arthropods","Insects","0406","Colias croceus (clouded yellow)",158,130,2,2,"Animals2","Animals2"
"368","cfel","Animals","Arthropods","Insects","0559","Ctenocephalides felis (cat flea)",158,130,2,2,"Animals2","Animals2"
"369","cfo","Animals","Arthropods","Insects","0066","Camponotus floridanus (Florida carpenter ant)",158,130,2,2,"Animals2","Animals2"
"370","cgig","Animals","Arthropods","Insects","0100","Colletes gigas",158,130,2,2,"Animals2","Animals2"
"371","cglo","Animals","Arthropods","Insects","0127","Cotesia glomerata",158,130,2,2,"Animals2","Animals2"
"372","cins","Animals","Arthropods","Insects","0080","Chelonus insularis",158,130,2,2,"Animals2","Animals2"
"373","clec","Animals","Arthropods","Insects","0423","Cimex lectularius (bed bug)",158,130,2,2,"Animals2","Animals2"
"374","cns","Animals","Arthropods","Insects","0222","Contarinia nasturtii (swede midge)",158,130,2,2,"Animals2","Animals2"
"375","cpii","Animals","Arthropods","Insects","0363","Culex pipiens pallens (Northern house mosquito)",158,130,2,2,"Animals2","Animals2"
"376","cqu","Animals","Arthropods","Insects","0283","Culex quinquefasciatus (southern house mosquito)",158,130,2,2,"Animals2","Animals2"
"377","csec","Animals","Arthropods","Insects","0627","Cryptotermes secundus (drywood termite)",158,130,2,2,"Animals2","Animals2"
"378","cset","Animals","Arthropods","Insects","0635","Coccinella septempunctata (seven-spotted ladybird)",158,130,2,2,"Animals2","Animals2"
"379","csol","Animals","Arthropods","Insects","0749","Ceratosolen solmsi marchali (fig wasp)",158,130,2,2,"Animals2","Animals2"
"380","dam","Animals","Arthropods","Insects","0489","Diachasma alloeum",158,130,2,2,"Animals2","Animals2"
"381","dan","Animals","Arthropods","Insects","0487","Drosophila ananassae",158,130,2,2,"Animals2","Animals2"
"382","daz","Animals","Arthropods","Insects","0496","Drosophila arizonae",158,130,2,2,"Animals2","Animals2"
"383","dci","Animals","Arthropods","Insects","0511","Diaphorina citri (Asian citrus psyllid)",158,130,2,2,"Animals2","Animals2"
"384","der","Animals","Arthropods","Insects","0536","Drosophila erecta",158,130,2,2,"Animals2","Animals2"
"385","dgr","Animals","Arthropods","Insects","0552","Drosophila grimshawi",158,130,2,2,"Animals2","Animals2"
"386","dhe","Animals","Arthropods","Insects","0557","Drosophila hydei",158,130,2,2,"Animals2","Animals2"
"387","dme","Animals","Arthropods","Insects","0614","Drosophila melanogaster (fruit fly)",158,130,2,2,"Animals2","Animals2"
"388","dmn","Animals","Arthropods","Insects","0618","Drosophila miranda",158,130,2,2,"Animals2","Animals2"
"389","dmo","Animals","Arthropods","Insects","0619","Drosophila mojavensis",158,130,2,2,"Animals2","Animals2"
"390","dnv","Animals","Arthropods","Insects","0632","Drosophila navojoa",158,130,2,2,"Animals2","Animals2"
"391","dnx","Animals","Arthropods","Insects","0634","Diuraphis noxia (Russian wheat aphid)",158,130,2,2,"Animals2","Animals2"
"392","dpa","Animals","Arthropods","Insects","0646","Dendroctonus ponderosae (mountain pine beetle)",158,130,2,2,"Animals2","Animals2"
"393","dpe","Animals","Arthropods","Insects","0650","Drosophila persimilis",158,130,2,2,"Animals2","Animals2"
"394","dpl","Animals","Arthropods","Insects","0652","Danaus plexippus (monarch butterfly)",158,130,2,2,"Animals2","Animals2"
"395","dpo","Animals","Arthropods","Insects","0653","Drosophila pseudoobscura",158,130,2,2,"Animals2","Animals2"
"396","dqu","Animals","Arthropods","Insects","0667","Dinoponera quadriceps",158,130,2,2,"Animals2","Animals2"
"397","dse","Animals","Arthropods","Insects","0692","Drosophila sechellia",158,130,2,2,"Animals2","Animals2"
"398","dsi","Animals","Arthropods","Insects","0697","Drosophila simulans",158,130,2,2,"Animals2","Animals2"
"399","dsm","Animals","Arthropods","Insects","0699","Diprion similis",158,130,2,2,"Animals2","Animals2"
"400","dsr","Animals","Arthropods","Insects","0703","Drosophila serrata",158,130,2,2,"Animals2","Animals2"
"401","dvi","Animals","Arthropods","Insects","0723","Drosophila virilis",158,130,2,2,"Animals2","Animals2"
"402","dwi","Animals","Arthropods","Insects","0734","Drosophila willistoni",158,130,2,2,"Animals2","Animals2"
"403","dya","Animals","Arthropods","Insects","0755","Drosophila yakuba",158,130,2,2,"Animals2","Animals2"
"404","fas","Animals","Arthropods","Insects","0438","Fopius arisanus",158,130,2,2,"Animals2","Animals2"
"405","fcd","Animals","Arthropods","Insects","0460","Folsomia candida",158,130,2,2,"Animals2","Animals2"
"406","fex","Animals","Arthropods","Insects","0495","Formica exsecta (narrow-headed ant)",158,130,2,2,"Animals2","Animals2"
"407","foc","Animals","Arthropods","Insects","0582","Frankliniella occidentalis (western flower thrips)",158,130,2,2,"Animals2","Animals2"
"408","haw","Animals","Arthropods","Insects","0392","Helicoverpa armigera (cotton bollworm)",158,130,2,2,"Animals2","Animals2"
"409","hhal","Animals","Arthropods","Insects","0168","Halyomorpha halys (brown marmorated stink bug)",158,130,2,2,"Animals2","Animals2"
"410","his","Animals","Arthropods","Insects","0493","Hermetia illucens (black soldier fly)",158,130,2,2,"Animals2","Animals2"
"411","hst","Animals","Arthropods","Insects","0589","Harpegnathos saltator (Jerdon's jumping ant)",158,130,2,2,"Animals2","Animals2"
"412","hze","Animals","Arthropods","Insects","0671","Helicoverpa zea (corn earworm)",158,130,2,2,"Animals2","Animals2"
"413","lbd","Animals","Arthropods","Insects","0265","Leptopilina boulardi",158,130,2,2,"Animals2","Animals2"
"414","lcq","Animals","Arthropods","Insects","0303","Lucilia cuprina (Australian sheep blowfly)",158,130,2,2,"Animals2","Animals2"
"415","ldc","Animals","Arthropods","Insects","0311","Leptinotarsa decemlineata (Colorado potato beetle)",158,130,2,2,"Animals2","Animals2"
"416","lht","Animals","Arthropods","Insects","0372","Leptopilina heterotoma",158,130,2,2,"Animals2","Animals2"
"417","lhu","Animals","Arthropods","Insects","0371","Linepithema humile (Argentine ant)",158,130,2,2,"Animals2","Animals2"
"418","lsq","Animals","Arthropods","Insects","0510","Lucilia sericata (common green bottle fly)",158,130,2,2,"Animals2","Animals2"
"419","mde","Animals","Arthropods","Insects","0687","Musca domestica (house fly)",158,130,2,2,"Animals2","Animals2"
"420","mdl","Animals","Arthropods","Insects","0689","Microplitis demolitor",158,130,2,2,"Animals2","Animals2"
"421","mgen","Animals","Arthropods","Insects","0527","Megalopta genalis",158,130,2,2,"Animals2","Animals2"
"422","mpha","Animals","Arthropods","Insects","0713","Monomorium pharaonis (pharaoh ant)",158,130,2,2,"Animals2","Animals2"
"423","msex","Animals","Arthropods","Insects","0140","Manduca sexta (tobacco hornworm)",158,130,2,2,"Animals2","Animals2"
"424","niq","Animals","Arthropods","Insects","0336","Nymphalis io (European peacock)",158,130,2,2,"Animals2","Animals2"
"425","nlu","Animals","Arthropods","Insects","0370","Nilaparvata lugens (brown planthopper)",158,130,2,2,"Animals2","Animals2"
"426","nmea","Animals","Arthropods","Insects","0766","Nomia melanderi (Alkali bee)",158,130,2,2,"Animals2","Animals2"
"427","npt","Animals","Arthropods","Insects","0426","Neodiprion pinetum (white pine sawfly)",158,130,2,2,"Animals2","Animals2"
"428","nvi","Animals","Arthropods","Insects","0499","Nasonia vitripennis (jewel wasp)",158,130,2,2,"Animals2","Animals2"
"429","nvl","Animals","Arthropods","Insects","0500","Nicrophorus vespilloides (burying beetle)",158,130,2,2,"Animals2","Animals2"
"430","obb","Animals","Arthropods","Insects","0611","Osmia bicornis bicornis (red mason bee)",158,130,2,2,"Animals2","Animals2"
"431","obo","Animals","Arthropods","Insects","0615","Ooceraea biroi (clonal raider ant)",158,130,2,2,"Animals2","Animals2"
"432","ofu","Animals","Arthropods","Insects","0663","Ostrinia furnacalis (Asian corn borer)",158,130,2,2,"Animals2","Animals2"
"433","otu","Animals","Arthropods","Insects","0810","Onthophagus taurus (bull-headed dung beetle)",158,130,2,2,"Animals2","Animals2"
"434","pbar","Animals","Arthropods","Insects","0677","Pogonomyrmex barbatus (red harvester ant)",158,130,2,2,"Animals2","Animals2"
"435","pbx","Animals","Arthropods","Insects","0123","Pieris brassicae (large cabbage white)",158,130,2,2,"Animals2","Animals2"
"436","pcf","Animals","Arthropods","Insects","0130","Polistes canadensis",158,130,2,2,"Animals2","Animals2"
"437","pfuc","Animals","Arthropods","Insects","0809","Polistes fuscatus (common paper wasp)",158,130,2,2,"Animals2","Animals2"
